DATE,IPC,ICC,IPD
2002-07-01,57.8594764812045,104.418343657527,9.9
2002-08-01,58.2674892652375,106.059537997772,10.09
2002-09-01,59.138405057894,103.469231092582,10.35
2002-10-01,60.9875949105215,101.310877500552,10.29
2002-11-01,64.3588949737005,105.589909173705,10.27
2002-12-01,64.1394414108305,107.560735346168,10.54
2003-01-01,65.3244957934895,100,11.05
2003-02-01,65.5807063616705,94.279774122055,11.18
2003-03-01,66.123764004074,91.395007932954,10.92
2003-04-01,65.8802100680815,96.908652553761,10.43
2003-05-01,61.977608695188,98.955126339492,10.47
2003-06-01,62.047597640379,100.249052523593,10.6
2003-07-01,62.025606601289,100.380154528336,10.72
2003-08-01,62.4042292414725,99.519728501053,11.18
2003-09-01,62.9661455564485,96.907376040267,11.15
2003-10-01,63.845417822854,95.921200209403,11.2
2003-11-01,67.839657302236,94.189772014792,11.5
2003-12-01,68.0613925186625,95.593205678622,11.33
2004-01-01,68.4083765758795,95.436597831953,11.15
2004-02-01,68.985183399628,94.969062997836,11.19
2004-03-01,69.534444882149,95.923757390115,11.28
2004-04-01,69.4108760155625,96.199800534484,11.55
2004-05-01,66.44529100652,100.10672940878,11.54
2004-06-01,67.2299300710575,100.074657703317,11.65
2004-07-01,67.713817047609,96.26681837881,11.51
2004-08-01,68.350448089472,95.073359941265,11.52
2004-09-01,68.9740833431875,97.026587010661,11.53
2004-10-01,70.171312830884,94.441807860306,11.65
2004-11-01,74.3947660380915,94.590161248997,11.2375
2004-12-01,74.880161150061,101.72945296165,11.32
2005-01-01,75.284296324909,102.30602867592,11.32
2005-02-01,74.9752530534695,105.717339829899,11.23
2005-03-01,75.3711908860285,104.58755403687,11.3
2005-04-01,74.5342752842725,100.117412874853,11.2
2005-05-01,69.7942002752045,98.561706741746,11.03
2005-06-01,70.151762594205,99.959403902569,10.8
2005-07-01,70.612666216623,99.730222371653,10.72
2005-08-01,71.030267288164,98.290240575365,10.9
2005-09-01,71.488861545617,102.204315260452,10.9
2005-10-01,73.3833461942085,102.364211897351,10.92
2005-11-01,79.2851001023185,102.288727058056,10.7
2005-12-01,80.218874401797,108.234869441229,10.77
2006-01-01,81.473307272309,107.638638778485,10.57
2006-02-01,80.971445930906,108.028305198779,10.58
2006-03-01,81.365266781541,112.551300643979,11.01
2006-04-01,80.9706307783235,109.45305536001,11.2
2006-05-01,75.689065684136,109.874075438163,11.4
2006-06-01,75.8928824010955,107.841900414272,11.55
2006-07-01,76.28285664612,109.753973556812,11.08
2006-08-01,76.5864510464335,110.695397433256,11.05
2006-09-01,76.6996366922955,110.617262542182,11.12
2006-10-01,77.7844671416725,108.625625827874,10.89
2006-11-01,83.2153594561595,105.928399830515,11.08
2006-12-01,83.7618231032605,109.654825654685,10.93
2007-01-01,84.364005404845,104.26701777302,11.13
2007-02-01,84.2027127474055,103.645303160305,11.25
2007-03-01,84.155215969188,106.520806198042,11.15
2007-04-01,81.981609830895,106.288180443256,11.05
2007-05-01,78.446394105685,107.280268432618,10.85
2007-06-01,78.7115789203415,105.247974005665,10.92
2007-07-01,79.0896192593105,104.75612901409,11.05
2007-08-01,79.449220072767,108.040827093175,11.15
2007-09-01,79.8910830753305,105.33040793327,11.02
2007-10-01,82.313253307802,101.418160039789,10.8
2007-11-01,86.3508636621365,99.968908339942,11.02
2007-12-01,86.617632976849,105.614639733208,11.03
2008-01-01,87.186067551514,103.465808427785,10.95
2008-02-01,87.537068091027,101.037064466183,10.85
2008-03-01,88.2789127621815,102.664944118231,10.75
2008-04-01,86.0769063830595,97.790108271505,10.65
2008-05-01,82.6238775256285,94.210729964753,10.45
2008-06-01,83.309966878748,90.680123278753,10.43
2008-07-01,83.98708604986,88.369613679699,10.13
2008-08-01,84.999295146837,89.606169078052,10.38
2008-09-01,85.6359424850895,88.628861534854,11.05
2008-10-01,88.9630843503195,81.975359690919,12.96
2008-11-01,93.6935706946325,83.85692206007,13.55
2008-12-01,93.57131920477,84.062151817218,13.95
2009-01-01,92.2424605959185,81.942362084719,14.4
2009-02-01,91.884550709399,78.911188171574,15.2
2009-03-01,91.9407332961435,79.43136723017,14.3
2009-04-01,89.552783347371,82.118058630098,14
2009-05-01,85.094095048508,78.276947029351,13.3
2009-06-01,85.1778618350805,81.035785083282,13.3
2009-07-01,85.1532405597225,85.422185151908,13.3
2009-08-01,85.5506711329275,81.546048210899,13.4
2009-09-01,85.3621919208035,81.897234354676,13.6
2009-10-01,88.276221555417,76.954976711003,13.3
2009-11-01,93.396144961268,78.1587855827,13
2009-12-01,93.8296981681925,80.126070947836,13
2010-01-01,94.9726976998495,82.116526042866,13.1
2010-02-01,95.727532180442,80.626178732907,12.9
2010-03-01,96.392787398032,81.808648994516,12.4
2010-04-01,94.104859946818,82.535630686709,12.3
2010-05-01,88.8961312528795,84.59300163013,13
2010-06-01,89.1851532652805,87.460560537903,12.95
2010-07-01,89.5761184844395,87.380661304036,12.7
2010-08-01,90.3208188931555,88.709312547747,13.3
2010-09-01,90.9950107591875,91.636102159513,12.7
2010-10-01,94.426233230084,89.15577800943,12.5
2010-11-01,99.6223300563295,88.503847057844,12.5
2010-12-01,99.8716373651575,91.202264703332,12.48
2011-01-01,100.785953371785,92.294035352136,12.2
2011-02-01,101.35961004855,92.254609341863,12.2
2011-03-01,102.13480033735,91.694527977889,11.98
2011-04-01,98.81268645965,89.737572006295,11.6
2011-05-01,92.7856363364,89.287117749665,11.65
2011-06-01,93.3023698593,93.02190578339,11.8
2011-07-01,93.8627572028,95.465942358118,11.85
2011-08-01,94.32264170235,93.360528216735,12.5
2011-09-01,94.9295705656,92.392931415067,13.95
2011-10-01,99.696034425,90.595394797583,13.4
2011-11-01,107.30039215925,89.548092737631,13.8
2011-12-01,108.16567401685,90.840009120814,14.1
2012-01-01,108.82704002715,95.396428508313,13.1
2012-02-01,109.46666728375,93.63682733011,12.9
2012-03-01,109.94921077105,93.400821434808,12.95
2012-04-01,106.24639465255,97.228522053186,13.1
2012-05-01,99.88669180625,96.271424277927,14.4
2012-06-01,100.646870461,95.540124458757,13.55
2012-07-01,101.38264295005,98.850968572088,13.5
2012-08-01,102.1823894524,97.552285626535,13.35
2012-09-01,102.0441507943,94.038689032533,13
2012-10-01,105.6978316488,94.932264552129,13.2
2012-11-01,113.46511205125,94.159691082935,13.05
2012-12-01,114.2467692982,98.988400650634,13
2013-01-01,114.92162717145,100.00677753483,12.85
2013-02-01,115.46122074865,95.450435743923,12.85
2013-03-01,116.3927900459,95.383994596457,12.5
2013-04-01,113.1261567978,95.727644283711,12.3
2013-05-01,108.1148804164,95.152673644716,12.95
2013-06-01,109.0629297596,93.255785071093,13.15
2013-07-01,109.7543405784,97.955283463903,12.95
2013-08-01,110.48903449065,97.439677840362,13.55
2013-09-01,111.13708489835,94.103121034586,13.3
2013-10-01,115.86940765215,91.163888080754,13.2
2013-11-01,122.77239053605,88.674419000941,13.25
2013-12-01,123.7301695635,89.663967243482,13.5
2014-01-01,126.03006150045,84.456111401949,13.6
2014-02-01,127.1278936074,84.523656744626,13.55
2014-03-01,127.83686413155,88.785119980779,13.2
2014-04-01,123.8184777689,90.2623044613,13.2
2014-05-01,117.69907619425,90.71383257742,13
2014-06-01,118.24489793125,90.973061950015,13.15
2014-07-01,118.9565112667,90.520972254045,13.35
2014-08-01,119.1385118825,89.712964210761,13.25
2014-09-01,119.54116897635,91.83502228599,13.65
2014-10-01,124.835285083749,90.561872887519,13.6
2014-11-01,131.64810534025,92.884686641022,14.05
2014-12-01,131.688755030049,93.552124170353,0
2015-01-01,131.3188415212,91.068998209866,15.2
2015-02-01,131.2745332856,90.258022521237,15.14
2015-03-01,132.968949922249,93.060056426919,15.4
2015-04-01,127.67588758495,91.316005806846,15.5
2015-05-01,121.6391393798,91.954729829135,15.6
2015-06-01,121.97963906985,94.739829566642,15.96
2015-07-01,122.06210239495,92.171569390032,16.25
2015-08-01,122.21123030155,90.433984757388,16.85
2015-09-01,122.0681583751,90.583837761019,17.05
2015-10-01,126.09032104605,91.259947592758,16.8
2015-11-01,132.33656527955,92.497903245646,16.75
2015-12-01,131.771857801099,92.991811110618,17.6
2016-01-01,130.741329081,92.532429802195,18.3
2016-02-01,130.4250143614,88.696346008005,18.25
2016-03-01,130.05431465635,89.205241197856,17.45
2016-04-01,126.23668206545,88.897851773854,17.35
2016-05-01,119.4431543306,90.906513854401,18.6
2016-06-01,120.07869113735,93.415917033722,18.4
2016-07-01,121.3903267649,88.869960176053,18.9
2016-08-01,122.7378693315,86.50284174295,19
2016-09-01,122.11570026845,84.146216244304,19.55
2016-10-01,127.3725943442,84.973384228069,19.1
2016-11-01,134.676331592099,84.42601578478,20.8
2016-12-01,134.964178522149,85.7252871498,20.4
